City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,samrala,30.8367,76.1897,91.4,23,0,3.28,IN,2024-06-07
255,zaltan,32.947,11.8665,68.0,51,0,2.08,LY,2024-06-07
256,rumonge,-3.9736,29.4386,73.4,64,99,1.63,BI,2024-06-07
257,punta de bombon,-17.1717,-71.7931,62.6,85,67,1.83,PE,2024-06-07
258,wang nam yen,13.5033,102.1812,86.0,64,44,4.96,TH,2024-06-07
259,nehe,48.4833,124.8333,73.4,36,100,7.0,CN,2024-06-07
260,colonia menno,-22.3667,-59.8167,69.8,45,0,4.59,PY,2024-06-07
261,nichlaul,27.3167,83.7333,95.0,38,0,3.29,IN,2024-06-07
262,talnakh,69.4865,88.3972,28.4,88,100,6.58,RU,2024-06-07
263,figuig (centre),32.1089,-1.2286,75.2,17,36,2.44,MA,2024-06-07
264,banfora,10.6333,-4.7667,80.6,74,93,2.65,BF,2024-06-07
265,mogocha,53.7333,119.7667,53.6,97,100,4.86,RU,2024-06-07
266,naze,28.3667,129.4833,77.0,83,90,5.59,JP,2024-06-07
267,portland,45.5234,-122.6762,75.2,47,20,3.6,US,2024-06-07
268,kaffrine,14.1059,-15.5508,73.4,57,69,3.51,SN,2024-06-07
269,kingston,17.997,-76.7936,80.6,89,75,5.14,JM,2024-06-07
270,hasaki,35.7333,140.8333,75.2,68,100,3.98,JP,2024-06-07
271,pariyapuram,10.9561,76.1916,75.2,94,100,0.25,IN,2024-06-07
272,coxim,-18.5067,-54.76,68.0,49,0,1.2,BR,2024-06-07
273,ugoofaaru,5.6667,73.0,84.2,75,100,4.34,MV,2024-06-07
274,paola,39.3599,16.0396,64.4,89,43,0.87,IT,2024-06-07
275,arroyo de la luz,39.4851,-6.584,69.8,56,100,3.44,ES,2024-06-07
276,san antonio de pale,-1.4014,5.6325,77.0,81,92,5.43,GQ,2024-06-07
277,la ronge,55.1001,-105.2842,48.2,66,100,7.2,CA,2024-06-07
278,fort bragg,35.139,-79.006,77.0,79,20,2.57,US,2024-06-07
279,vernon,50.2581,-119.2691,69.8,37,40,0.51,CA,2024-06-07
280,coahuayana de hidalgo,18.7,-103.6583,73.4,89,0,0.92,MX,2024-06-07
281,puerto maldonado,-12.6,-69.1833,71.6,69,6,0.33,PE,2024-06-07
282,luninyets,52.2472,26.8047,51.8,91,99,1.63,BY,2024-06-07
283,cill airne,52.05,-9.5167,44.6,98,31,1.49,IE,2024-06-07
284,christchurch,-43.5333,172.6333,59.0,49,5,1.03,NZ,2024-06-07
285,mount pearl,47.5166,-52.7813,48.2,95,100,2.06,CA,2024-06-07
286,northam,51.0333,-4.2167,50.0,89,26,3.67,GB,2024-06-07
287,rodniki,57.1051,41.7305,60.8,95,90,2.62,RU,2024-06-07
288,atafu village,-8.5421,-172.5159,84.2,74,9,3.81,TK,2024-06-07
289,winfield,37.2398,-96.9956,75.2,64,0,2.06,US,2024-06-07
290,canutama,-6.5339,-64.3831,80.6,68,97,0.72,BR,2024-06-07
291,lhokseumawe,5.1801,97.1507,78.8,84,100,2.33,ID,2024-06-07
